Loading target data...

=== V_NoSearch  flatten=['search']  n_draws=100  total_sims=300 ===
  [resume] reusing existing samples
  [resume] 300 seed-rows done
  V_NoHousing [ 93/100] mean=0.4658 std=0.0033  elapsed=72.7min
  V_NoHousing [ 94/100] mean=0.4607 std=0.0097  elapsed=73.1min
  V_NoHousing [ 95/100] mean=0.7311 std=0.0041  elapsed=73.6min
  V_NoHousing [ 96/100] mean=0.4598 std=0.0067  elapsed=74.0min
  V_NoHousing [ 97/100] mean=0.3569 std=0.0070  elapsed=74.4min
  V_NoHousing [ 98/100] mean=1.4068 std=0.0115  elapsed=74.9min
  V_NoHousing [ 99/100] mean=0.2573 std=0.0065  elapsed=75.4min
  V_NoHousing [100/100] mean=0.6417 std=0.0065  elapsed=75.8min
  -> top1 mean train loss = 0.2031

=== V_NoSLH  flatten=['search', 'liquidity', 'housing']  n_draws=100  total_sims=300 ===
  V_NoSLH [  1/100] mean=0.7847 std=0.0046  elapsed=76.2min
  V_NoSLH [  2/100] mean=0.5771 std=0.0015  elapsed=76.7min
  V_NoSLH [  3/100] mean=1.2339 std=0.0156  elapsed=77.1min
  V_NoSLH [  4/100] mean=0.6599 std=0.0069  elapsed=77.5min
  V_NoSLH [  5/100] mean=0.6913 std=0.0084  elapsed=77.9min
  V_NoSLH [  6/100] mean=1.7571 std=0.0112  elapsed=78.4min
  V_NoSLH [  7/100] mean=2.0218 std=0.0053  elapsed=78.8min
  V_NoSLH [  8/100] mean=1.6392 std=0.0030  elapsed=79.2min
  V_NoSLH [  9/100] mean=0.7764 std=0.0085  elapsed=79.7min
  V_NoSLH [ 10/100] mean=1.4564 std=0.0001  elapsed=80.1min
  V_NoSLH [ 11/100] mean=0.6179 std=0.0063  elapsed=80.5min
  V_NoSLH [ 12/100] mean=1.4968 std=0.0190  elapsed=81.0min
  V_NoSLH [ 13/100] mean=0.8488 std=0.0064  elapsed=81.4min
  V_NoSLH [ 14/100] mean=0.6294 std=0.0039  elapsed=81.8min
  V_NoSLH [ 15/100] mean=0.4667 std=0.0010  elapsed=82.2min
  V_NoSLH [ 16/100] mean=0.5607 std=0.0003  elapsed=82.6min
  V_NoSLH [ 17/100] mean=1.2364 std=0.0078  elapsed=83.1min
  V_NoSLH [ 18/100] mean=1.4000 std=0.0068  elapsed=83.5min
  V_NoSLH [ 19/100] mean=0.5885 std=0.0047  elapsed=83.9min
  V_NoSLH [ 20/100] mean=0.5344 std=0.0065  elapsed=84.3min
  V_NoSLH [ 21/100] mean=0.6406 std=0.0047  elapsed=84.8min
  V_NoSLH [ 22/100] mean=2.2542 std=0.0110  elapsed=85.2min
  V_NoSLH [ 23/100] mean=0.5802 std=0.0031  elapsed=85.6min
  V_NoSLH [ 24/100] mean=0.6326 std=0.0037  elapsed=86.0min
  V_NoSLH [ 25/100] mean=0.5065 std=0.0056  elapsed=86.4min
  V_NoSLH [ 26/100] mean=0.5855 std=0.0040  elapsed=86.9min
  V_NoSLH [ 27/100] mean=0.8902 std=0.0024  elapsed=87.3min
  V_NoSLH [ 28/100] mean=0.7604 std=0.0038  elapsed=87.7min
  V_NoSLH [ 29/100] mean=0.5824 std=0.0057  elapsed=88.1min
